PaymentRemissionRequested,PaymentRemissionReason,Reason Description,remissionType,remissionClaim,feeRemissionType,exceptionalCircumstances,legalAidAccountNumber,asylumSupportReference,helpWithFeesReferenceNumber,
,,,,,"  },",,,,,
59,Tameside Magistartes Court,,manchester,manchester,{,512401,Manchester Tribunal Hearing Centre - Piccadilly Exchange,Manchester Tribunal Hearing Centre - Piccadilly Exchange,manchester,manchester
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""512401""",,,,,
,,,,,"  },",,,,,
1,Taylor House,,taylorHouse,taylorHouse,{,765324,Taylor House Tribunal Hearing Centre,Taylor House Tribunal Hearing Centre,taylorHouse,taylorHouse
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""765324""",,,,,
,,,,,"  },",,,,,
331,Taylor House (Field House),,taylorHouse,taylorHouse,{,765324,Taylor House Tribunal Hearing Centre,Taylor House Tribunal Hearing Centre,taylorHouse,taylorHouse
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""765324""",,,,,
,,,,,"  },",,,,,
51,Taylor House (HX),,taylorHouse,taylorHouse,{,765324,Taylor House Tribunal Hearing Centre,Taylor House Tribunal Hearing Centre,taylorHouse,taylorHouse
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""765324""",,,,,
,,,,,"  },",,,,,
478,UT (IAC) Birmingham CJC,,birmingham,birmingham,{,231596,Birmingham Civil And Family Justice Centre,Birmingham Civil And Family Justice Centre,birmingham,birmingham
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""231596""",,,,,
,,,,,"  },",,,,,
522,UT (IAC) Cardiff CJC,FOR caseNo:,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation
,,     %% sql,,,,,,,,
,,     SELECT TOP 1 Comment,,,,,,,,
,,     FROM h.bronze_history,,,,,,,,
,,     WHERE HistType = 6 AND HistoryId = (SELECT MAX(HistoryId),,,,,,,,
,,FROM h.bronze_history,,,,,,,,
,,WHERE (Comment NOT LIKE '%Castle Park Storage%' AND Comment NOT LIKE '%Field House%' AND Comment NOT LIKE '%UT (IAC)%' ),,,,,,,,
,,AND HistType = 6,,,,,,,,
,,                AND CaseNo = caseNo)   ,,,,,,,,
,,     ORDER BY HistoryId DESC,,,,,,,,
,,,,,,,,,,
,,     %% python,,,,,,,,
,,"     split_comment = Comment.split(',')",,,,,,,,
,,     prevFileLocation = split_comment[0] # The value of prevFileLocation should then be mapped based on column L,,,,,,,,
406,UT (IAC) Hearing in Field House,FOR caseNo:,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation
,,     %% sql,,,,,,,,
,,     SELECT TOP 1 Comment,,,,,,,,
,,     FROM h.bronze_history,,,,,,,,
,,     WHERE HistType = 6 AND HistoryId = (SELECT MAX(HistoryId),,,,,,,,
,,FROM h.bronze_history,,,,,,,,
,,WHERE (Comment NOT LIKE '%Castle Park Storage%' AND Comment NOT LIKE '%Field House%' AND Comment NOT LIKE '%UT (IAC)%' ),,,,,,,,
,,AND HistType = 6,,,,,,,,
,,                AND CaseNo = caseNo)   ,,,,,,,,
,,     ORDER BY HistoryId DESC,,,,,,,,
,,,,,,,,,,
,,     %% python,,,,,,,,
,,"     split_comment = Comment.split(',')",,,,,,,,
,,     prevFileLocation = split_comment[0] # The value of prevFileLocation should then be mapped based on column L,,,,,,,,
517,UT (IAC) Hearing in Man CJC,FOR caseNo:,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation,map with fileLocation
,,     %% sql,,,,,,,,
,,     SELECT TOP 1 Comment,,,,,,,,
,,     FROM h.bronze_history,,,,,,,,
,,     WHERE HistType = 6 AND HistoryId = (SELECT MAX(HistoryId),,,,,,,,
,,FROM h.bronze_history,,,,,,,,
,,WHERE (Comment NOT LIKE '%Castle Park Storage%' AND Comment NOT LIKE '%Field House%' AND Comment NOT LIKE '%UT (IAC)%' ),,,,,,,,
,,AND HistType = 6,,,,,,,,
,,                AND CaseNo = caseNo)   ,,,,,,,,
,,     ORDER BY HistoryId DESC,,,,,,,,
,,,,,,,,,,
,,     %% python,,,,,,,,
,,"     split_comment = Comment.split(',')",,,,,,,,
,,     prevFileLocation = split_comment[0] # The value of prevFileLocation should then be mapped based on column L,,,,,,,,
106,Yarl's Wood,,taylorHouse,taylorHouse,{,765324,Taylor House Tribunal Hearing Centre,Taylor House Tribunal Hearing Centre,yarlsWood,taylorHouse
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""765324""",,,,,
,,,,,"  },",,,,,
3,ZZ(DNU)Birmingham IAC Sheldon Court,,birmingham,birmingham,{,231596,Birmingham Civil And Family Justice Centre,Birmingham Civil And Family Justice Centre,birmingham,birmingham
,,,,,"    ""region"": ""1"",",,,,,
,,,,,"    ""baseLocation"": ""231596""",,,,,
,,,,,"  },",,,,,
37,Not known at this time,,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG,tbc with DMWG
